"Author","Year","Construct","lOR","l.lor","u.lor","OR","l.or","u.or","varLOR","Fisher_Z","variance_Fisher_Z","raw_correlation_coefficient","Total_N"
"Pozehl et al. 2018",2018,"PreviousExercisetask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pozehl et al. 2018",2018,"PreviousExercisetask2",0,-0.57,0.57,1,0.57,1.76,0.0986960440108936,0,0.01,0,163
"Evangelista et al., 2004",2004,"Age",5.07,4.48,5.67,159.88,87.95,290.63,0.0986960440108936,1.14,0,0.81,280
"Chien et al., 2014",2014,"Male",-1.14,-1.85,-0.42,0.32,0.16,0.65,0.131594725347858,-0.3,0.01,-0.29,111
"Chien et al., 2014",2014,"Male",0.26,-0.44,0.95,1.29,0.64,2.59,0.131594725347858,0.07,0.01,0.07,111
"Chien et al., 2014",2014,"Male1",0.21,-0.49,0.9,1.23,0.61,2.47,0.131594725347858,0.06,0.01,0.06,111
"Chien et al., 2014",2014,"Male",0.65,-0.05,1.35,1.91,0.95,3.86,0.131594725347858,0.17,0.01,0.17,111
"Chien et al., 2014",2014,"NYHA_IIIvsII4",-0.47,-1.3,0.37,0.63,0.27,1.44,0.197392088021787,-0.11,0.01,-0.1,111
"Chien et al., 2014",2014,"NYHA_IIIvsII2",43.04,37.32,48.77,4935173895763508224,16138710721694224,1.50916277027541e+21,8.52075846627381,2.97,0.01,0.99,111
"Chien et al., 2014",2014,"NYHA_IIIvsII3",-0.38,-1.21,0.45,0.68,0.3,1.58,0.197392088021787,-0.09,0.01,-0.09,111
"Chien et al., 2014",2014,"NYHA",-0.72,-1.56,0.12,0.49,0.21,1.12,0.197392088021787,-0.16,0.01,-0.16,111
"Chien et al., 2014",2014,"Partner1",-0.07,-0.82,0.68,0.93,0.44,1.98,0.131594725347858,-0.02,0.01,-0.02,111
"Chien et al., 2014",2014,"Partner2",-1.18,-1.95,-0.41,0.31,0.14,0.66,0.164493406684823,-0.29,0.01,-0.28,111
"Chien et al., 2014",2014,"Partner3",-0.35,-1.1,0.4,0.7,0.33,1.5,0.131594725347858,-0.09,0.01,-0.09,111
"Chien et al., 2014",2014,"Partner",-0.92,-1.68,-0.16,0.4,0.19,0.86,0.164493406684823,-0.23,0.01,-0.22,111
"Snipelisky et al., 2017",2017,"6MWT",2.71,2.16,3.25,14.98,8.71,25.75,0.0657973626739291,0.69,0,0.6,220
"Snipelisky et al., 2017",2017,"6MWT",1.43,0.93,1.93,4.17,2.54,6.87,0.0657973626739291,0.39,0,0.37,220
"Snipelisky et al., 2017",2017,"BloodPressure",0.48,0,0.97,1.62,1,2.63,0.0657973626739291,0.13,0,0.13,220
"Snipelisky et al., 2017",2017,"Doppler",-0.71,-1.2,-0.23,0.49,0.3,0.8,0.0657973626739291,-0.2,0,-0.19,220
"Snipelisky et al., 2017",2017,"PhysicalFunctioning5",1.3,0.81,1.8,3.69,2.25,6.05,0.0657973626739291,0.35,0,0.34,220
"Snipelisky et al., 2017",2017,"PhysicalFunctioning2",-0.52,-1,-0.04,0.6,0.37,0.96,0.0657973626739291,-0.14,0,-0.14,220
"Snipelisky et al., 2017",2017,"PhysicalFunctioning",1.22,0.73,1.71,3.39,2.07,5.55,0.0657973626739291,0.33,0,0.32,220
"Snipelisky et al., 2017",2017,"PhysicalFunctioning4",-0.73,-1.21,-0.24,0.48,0.3,0.79,0.0657973626739291,-0.2,0,-0.2,220
"Snipelisky et al., 2017",2017,"highproBNP",-1.16,-1.52,-0.8,0.31,0.22,0.45,0.0328986813369645,-0.32,0,-0.31,408
"Snipelisky et al., 2017",2017,"LAV",-1.12,-1.61,-0.63,0.33,0.2,0.53,0.0657973626739291,-0.3,0,-0.3,220
"Snipelisky et al., 2017",2017,"LVR",-0.2,-0.68,0.28,0.82,0.51,1.33,0.0657973626739291,-0.05,0,-0.05,220
"Snipelisky et al., 2017",2017,"QoL",0.94,0.46,1.43,2.57,1.58,4.18,0.0657973626739291,0.26,0,0.25,220
"Snipelisky et al., 2017",2017,"QoL",0.94,0.46,1.43,2.57,1.58,4.18,0.0657973626739291,0.26,0,0.25,220
"Snipelisky et al., 2017",2017,"QoL",1.02,0.53,1.51,2.76,1.7,4.51,0.0657973626739291,0.28,0,0.27,220
"Snipelisky et al., 2017",2017,"QoL",0.52,0.04,1,1.68,1.04,2.72,0.0657973626739291,0.14,0,0.14,220
"Snipelisky et al., 2017",2017,"RenalFunction",1.07,0.58,1.55,2.9,1.78,4.73,0.0657973626739291,0.29,0,0.28,220
"Dontjie et al., 2014",2014,"NYHA_IIIvsII2",-1.81,-2.46,-1.17,0.16,0.09,0.31,0.0986960440108936,-0.48,0.01,-0.45,136
"Dontjie et al., 2014",2014,"NYHA_IIIvsII4",-1.6,-2.24,-0.96,0.2,0.11,0.38,0.0986960440108936,-0.43,0.01,-0.41,136
"Dontjie et al., 2014",2014,"NYHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dontjie et al., 2014",2014,"NYHA_IIIvsII2",-1.47,-2.1,-0.83,0.23,0.12,0.44,0.0986960440108936,-0.4,0.01,-0.38,136
"Dontjie et al., 2014",2014,"NYHA_IIIvsII2",-1.42,-2.05,-0.79,0.24,0.13,0.46,0.0986960440108936,-0.38,0.01,-0.37,136
"Dontjie et al., 2014",2014,"NYHA_IIIvsII2",1.32,0.69,1.95,3.74,1.99,7.02,0.0986960440108936,0.36,0.01,0.34,136
"Dontjie et al., 2014",2014,"NYHA_IIIvsII2",1.44,0.8,2.07,4.21,2.23,7.92,0.0986960440108936,0.39,0.01,0.37,136
"Dontjie et al., 2014",2014,"NYHA_IIIvsII2",-1.73,-2.37,-1.09,0.18,0.09,0.34,0.0986960440108936,-0.46,0.01,-0.43,136
"Dontjie et al., 2014",2014,"NYHA_IIIvsII2",-0.81,-1.43,-0.19,0.44,0.24,0.82,0.0986960440108936,-0.22,0.01,-0.22,136
"Corvera-Tindel et al., 2004",2004,"6MWT",1.24,0.41,2.07,3.45,1.51,7.9,0.164493406684823,0.34,0.01,0.33,78
"Corvera-Tindel et al., 2004",2004,"Age",-0.28,-1.08,0.53,0.76,0.34,1.7,0.164493406684823,-0.08,0.01,-0.08,78
"Corvera-Tindel et al., 2004",2004,"Anxiety",0.41,-0.4,1.22,1.5,0.67,3.37,0.164493406684823,0.11,0.01,0.11,78
"Corvera-Tindel et al., 2004",2004,"BMI",0.94,0.12,1.75,2.55,1.12,5.78,0.164493406684823,0.26,0.01,0.25,78
"Corvera-Tindel et al., 2004",2004,"Comorbidity",-1.4,-2.23,-0.56,0.25,0.11,0.57,0.197392088021787,-0.38,0.01,-0.36,78
"Corvera-Tindel et al., 2004",2004,"Depression",0,-0.81,0.81,1,0.45,2.24,0.164493406684823,0,0.01,0,78
"Corvera-Tindel et al., 2004",2004,"Dysphoria",0.38,-0.43,1.18,1.46,0.65,3.27,0.164493406684823,0.1,0.01,0.1,78
"Corvera-Tindel et al., 2004",2004,"HFDuration",-1.21,-2.03,-0.38,0.3,0.13,0.68,0.164493406684823,-0.33,0.01,-0.32,78
"Corvera-Tindel et al., 2004",2004,"Hostility",0.79,-0.02,1.6,2.2,0.98,4.98,0.164493406684823,0.22,0.01,0.22,78
"Corvera-Tindel et al., 2004",2004,"LVEF",-0.4,-1.21,0.4,0.67,0.3,1.5,0.164493406684823,-0.11,0.01,-0.11,78
"Garet et al., 2005",2005,"NYHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garet et al., 2005",2005,"NYHA",-35.81,-41.49,-30.14,0,0,0,8.38916374092595,-3,0.01,-1,78
"Garet et al., 2005",2005,"NYHA_IIIvsII2",4.47,3.4,5.54,87.57,30.1,254.8,0.296088132032681,1.05,0.01,0.78,78
"Garet et al., 2005",2005,"NYHA_IIIvsII2",-7.3,-8.7,-5.9,0,0,0,0.526378901391433,-1.46,0.01,-0.9,78
"Garet et al., 2005",2005,"NYHA_IIIvsII2",-4.13,-5.16,-3.09,0.02,0.01,0.05,0.263189450695716,-0.99,0.01,-0.76,78
"Corvera-Tindel et al., 2004",2004,"PeakVO2",1.45,0.61,2.29,4.26,1.84,9.83,0.197392088021787,0.39,0.01,0.38,78
"Corvera-Tindel et al., 2004",2004,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corvera-Tindel et al., 2004",2004,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corvera-Tindel et al., 2004",2004,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moreno-Soarez et al., 2019",2019,"LVAD",1.98,1.03,2.93,7.25,2.8,18.8,0.230290769358752,0.53,0.02,0.49,64
"Gad et al., 2018",2018,"CRT1",-0.1,-0.13,-0.07,0.9,0.88,0.93,0,-0.03,0,-0.03,53018
"Gad et al., 2018",2018,"CRT",0.76,-0.26,1.77,2.13,0.77,5.9,0.263189450695716,0.21,0.02,0.21,50
"Gad et al., 2018",2018,"CRT4",-0.38,-1.39,0.63,0.68,0.25,1.87,0.263189450695716,-0.11,0.02,-0.11,50
"Gad et al., 2018",2018,"CRT5",NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,50
"Gad et al., 2018",2018,"CRT6",-0.54,-1.56,0.47,0.58,0.21,1.6,0.263189450695716,-0.15,0.02,-0.15,50
"Pozehl et al. 2018",2018,"6MWT",1.88,1.32,2.44,6.55,3.73,11.49,0.0657973626739291,0.5,0,0.46,204
"Pozehl et al. 2018",2018,"6MWT",1.54,0.99,2.08,4.65,2.7,7.99,0.0657973626739291,0.41,0,0.39,204
"Pozehl et al. 2018",2018,"Age",-0.94,-1.45,-0.42,0.39,0.23,0.66,0.0657973626739291,-0.26,0,-0.25,204
"Pozehl et al. 2018",2018,"Age",-1.23,-1.75,-0.7,0.29,0.17,0.5,0.0657973626739291,-0.33,0,-0.32,204
"Pozehl et al. 2018",2018,"Anxiety",-0.59,-1.09,-0.08,0.56,0.34,0.92,0.0657973626739291,-0.16,0,-0.16,204
"Pozehl et al. 2018",2018,"Anxiety",-0.07,-0.57,0.43,0.93,0.56,1.53,0.0657973626739291,-0.02,0,-0.02,204
"Pozehl et al. 2018",2018,"BMI",-0.4,-0.9,0.1,0.67,0.41,1.11,0.0657973626739291,-0.11,0,-0.11,204
"Pozehl et al. 2018",2018,"BMI",-0.36,-0.87,0.14,0.69,0.42,1.15,0.0657973626739291,-0.1,0,-0.1,204
"Pozehl et al. 2018",2018,"Comorbidity",-0.66,-1.17,-0.16,0.51,0.31,0.86,0.0657973626739291,-0.18,0,-0.18,204
"Pozehl et al. 2018",2018,"Comorbidity1",-0.55,-1.06,-0.05,0.58,0.35,0.96,0.0657973626739291,-0.15,0,-0.15,204
"Pozehl et al. 2018",2018,"Depression",-0.48,-0.98,0.03,0.62,0.38,1.03,0.0657973626739291,-0.13,0,-0.13,204
"Pozehl et al. 2018",2018,"Depression2",-0.29,-0.79,0.21,0.75,0.45,1.23,0.0657973626739291,-0.08,0,-0.08,204
"Pozehl et al. 2018",2018,"PhysicalFunctioning",0.82,0.31,1.33,2.27,1.36,3.78,0.0657973626739291,0.22,0,0.22,204
"Pozehl et al. 2018",2018,"PhysicalFunctioning6",1.1,0.58,1.62,3,1.78,5.06,0.0657973626739291,0.3,0,0.29,204
"Pozehl et al. 2018",2018,"PhysicalFunctioning7",0.55,0.05,1.06,1.73,1.05,2.87,0.0657973626739291,0.15,0,0.15,204
"Pozehl et al. 2018",2018,"PhysicalFunctioning8",0.86,0.34,1.37,2.36,1.41,3.94,0.0657973626739291,0.23,0,0.23,204
"Pozehl et al. 2018",2018,"LVEF5",-0.44,-0.94,0.06,0.65,0.39,1.07,0.0657973626739291,-0.12,0,-0.12,204
"Pozehl et al. 2018",2018,"LVEF",-0.29,-0.79,0.21,0.75,0.45,1.23,0.0657973626739291,-0.08,0,-0.08,204
"Pozehl et al. 2018",2018,"NegativeAttitude",-0.51,-1.02,-0.01,0.6,0.36,0.99,0.0657973626739291,-0.14,0,-0.14,204
"Pozehl et al. 2018",2018,"NegativeAttitude2",-0.55,-1.06,-0.05,0.58,0.35,0.96,0.0657973626739291,-0.15,0,-0.15,204
"Pozehl et al. 2018",2018,"PositiveAttitude",0.59,0.08,1.09,1.8,1.09,2.98,0.0657973626739291,0.16,0,0.16,204
"Pozehl et al. 2018",2018,"PositiveAttitude2",0.66,0.16,1.17,1.94,1.17,3.23,0.0657973626739291,0.18,0,0.18,204
"Pozehl et al. 2018",2018,"QoL",0.51,0.01,1.02,1.67,1.01,2.76,0.0657973626739291,0.14,0,0.14,204
"Pozehl et al. 2018",2018,"QoL",0.11,-0.39,0.61,1.12,0.68,1.84,0.0657973626739291,0.03,0,0.03,204
"Pozehl et al. 2018",2018,"SelfEfficacy",0.74,0.23,1.25,2.1,1.26,3.49,0.0657973626739291,0.2,0,0.2,204
"Pozehl et al. 2018",2018,"SelfEfficacy",0.55,0.05,1.06,1.73,1.05,2.87,0.0657973626739291,0.15,0,0.15,204
"Pozehl et al. 2018",2018,"SelfEfficacy1",0.36,-0.14,0.87,1.44,0.87,2.38,0.0657973626739291,0.1,0,0.1,204
"Pozehl et al. 2018",2018,"SelfEfficacy",0.22,-0.28,0.72,1.24,0.75,2.05,0.0657973626739291,0.06,0,0.06,204
"Pozehl et al. 2018",2018,"Symptoms2",0.55,0.05,1.06,1.73,1.05,2.87,0.0657973626739291,0.15,0,0.15,204
"Pozehl et al. 2018",2018,"Symptoms",0.66,0.16,1.17,1.94,1.17,3.23,0.0657973626739291,0.18,0,0.18,204
"Pozehl et al. 2018",2018,"Symptoms1",-0.36,-0.87,0.14,0.69,0.42,1.15,0.0657973626739291,-0.1,0,-0.1,204
"Pozehl et al. 2018",2018,"Symptoms1",0.33,-0.17,0.83,1.39,0.84,2.29,0.0657973626739291,0.09,0,0.09,204
"Pozehl et al. 2018",2018,"Symptoms",0.29,-0.21,0.79,1.34,0.81,2.21,0.0657973626739291,0.08,0,0.08,204
"Pozehl et al. 2018",2018,"Symptoms1",-0.15,-0.64,0.35,0.86,0.52,1.43,0.0657973626739291,-0.04,0,-0.04,204
"Pozehl et al. 2018",2018,"",0.51,0.01,1.02,1.67,1.01,2.76,0.0657973626739291,0.14,0,0.14,204
"Pozehl et al. 2018",2018,"",0.7,0.19,1.21,2.02,1.21,3.35,0.0657973626739291,0.19,0,0.19,204
"Pozehl et al. 2018",2018,"",0.82,0.31,1.33,2.27,1.36,3.78,0.0657973626739291,0.22,0,0.22,204
"Pozehl et al. 2018",2018,"",0.51,0.01,1.02,1.67,1.01,2.76,0.0657973626739291,0.14,0,0.14,204
"Pozehl et al. 2018",2018,"",0.4,-0.1,0.9,1.49,0.9,2.47,0.0657973626739291,0.11,0,0.11,204
"Pozehl et al. 2018",2018,"",0.44,-0.06,0.94,1.55,0.94,2.56,0.0657973626739291,0.12,0,0.12,204
"Klompstra et al., 2018",2018,"SelfEfficacy",1.88,1.23,2.53,6.55,3.43,12.51,0.0986960440108936,0.5,0.01,0.46,154
"Lee et al., 2017",2017,"Age",-0.7,-1.38,-0.03,0.5,0.25,0.97,0.131594725347858,-0.19,0.01,-0.19,116
"Lee et al., 2017",2017,"Education",-0.22,-0.88,0.45,0.8,0.41,1.56,0.0986960440108936,-0.06,0.01,-0.06,116
"Lee et al., 2017",2017,"Employment",0.36,-0.3,1.03,1.44,0.74,2.8,0.131594725347858,0.1,0.01,0.1,116
"Lee et al., 2017",2017,"HFDuration",-0.74,-1.42,-0.06,0.48,0.24,0.94,0.131594725347858,-0.2,0.01,-0.2,116
"Lee et al., 2017",2017,"Income",0.18,-0.48,0.85,1.2,0.62,2.33,0.0986960440108936,0.05,0.01,0.05,116
"Lee et al., 2017",2017,"LVEF",1.49,0.77,2.21,4.44,2.17,9.09,0.131594725347858,0.4,0.01,0.38,116
"Lee et al., 2017",2017,"Male",0.04,-0.63,0.7,1.04,0.53,2.01,0.0986960440108936,0.01,0.01,0.01,116
"Lee et al., 2017",2017,"NYHA",2.65,1.83,3.47,14.17,6.23,32.2,0.164493406684823,0.68,0.01,0.59,116
"Lee et al., 2017",2017,"QoL",-0.66,-1.34,0.01,0.51,0.26,1.01,0.131594725347858,-0.18,0.01,-0.18,116
"Lee et al., 2017",2017,"SelfEfficacy",-1.27,-1.97,-0.57,0.28,0.14,0.57,0.131594725347858,-0.34,0.01,-0.33,116
"Lee et al., 2017",2017,"Smoking",0.66,-0.01,1.34,1.94,0.99,3.81,0.131594725347858,0.18,0.01,0.18,116
"Chien et al., 2014",2014,"Age",-0.74,-1.43,-0.05,0.48,0.24,0.95,0.131594725347858,-0.2,0.01,-0.2,111
"Chien et al., 2014",2014,"Age",-1.23,-1.94,-0.51,0.29,0.14,0.6,0.131594725347858,-0.33,0.01,-0.32,111
"Chien et al., 2014",2014,"Age",-0.36,-1.05,0.32,0.69,0.35,1.37,0.131594725347858,-0.1,0.01,-0.1,111
"Chien et al., 2014",2014,"Age",-2.52,-3.34,-1.69,0.08,0.04,0.18,0.164493406684823,-0.65,0.01,-0.57,111
"Chien et al., 2014",2014,"BMI",1.18,0.47,1.9,3.26,1.6,6.66,0.131594725347858,0.32,0.01,0.31,111
"Chien et al., 2014",2014,"BMI",1.14,0.43,1.85,3.13,1.54,6.37,0.131594725347858,0.31,0.01,0.3,111
"Chien et al., 2014",2014,"BMI",0.63,-0.06,1.31,1.87,0.94,3.72,0.131594725347858,0.17,0.01,0.17,111
"Chien et al., 2014",2014,"BMI",3.19,2.28,4.09,24.21,9.82,59.7,0.197392088021787,0.79,0.01,0.66,111
"Chien et al., 2014",2014,"Knowledge1",0.48,-0.21,1.16,1.61,0.81,3.19,0.131594725347858,0.13,0.01,0.13,111
"Chien et al., 2014",2014,"Knowledge2",0.51,-0.17,1.2,1.67,0.84,3.31,0.131594725347858,0.14,0.01,0.14,111
"Chien et al., 2014",2014,"Knowledge3",-0.22,-0.9,0.46,0.8,0.41,1.59,0.131594725347858,-0.06,0.01,-0.06,111
"Chien et al., 2014",2014,"Knowledge",0.74,0.05,1.43,2.1,1.05,4.19,0.131594725347858,0.2,0.01,0.2,111
"Chien et al., 2014",2014,"LVEF4",0.44,-0.24,1.12,1.55,0.78,3.07,0.131594725347858,0.12,0.01,0.12,111
"Chien et al., 2014",2014,"LVEF2",-0.66,-1.35,0.03,0.51,0.26,1.03,0.131594725347858,-0.18,0.01,-0.18,111
"Chien et al., 2014",2014,"LVEF3",-0.15,-0.82,0.53,0.86,0.44,1.7,0.131594725347858,-0.04,0.01,-0.04,111
"Chien et al., 2014",2014,"LVEF",-0.18,-0.86,0.5,0.83,0.42,1.64,0.131594725347858,-0.05,0.01,-0.05,111
"Chien et al., 2014",2014,"SelfEfficacy1",1.02,0.31,1.72,2.77,1.37,5.59,0.131594725347858,0.28,0.01,0.27,111
"Chien et al., 2014",2014,"SelfEfficacy",1.58,0.84,2.32,4.87,2.32,10.2,0.131594725347858,0.42,0.01,0.4,111
"Chien et al., 2014",2014,"SelfEfficacy",0.94,0.24,1.64,2.55,1.27,5.14,0.131594725347858,0.26,0.01,0.25,111
"Chien et al., 2014",2014,"SelfEfficacy1",0.07,-0.61,0.75,1.08,0.55,2.12,0.131594725347858,0.02,0.01,0.02,111
"Chien et al., 2014",2014,"SelfEfficacy",0.04,-0.64,0.71,1.04,0.53,2.04,0.131594725347858,0.01,0.01,0.01,111
"Chien et al., 2014",2014,"SelfEfficacy1",1.23,0.51,1.94,3.41,1.66,6.96,0.131594725347858,0.33,0.01,0.32,111
"Chien et al., 2014",2014,"SelfEfficacy",2.15,1.36,2.94,8.59,3.91,18.9,0.164493406684823,0.56,0.01,0.51,111
"Chien et al., 2014",2014,"Symptoms_distress",-0.48,-1.16,0.21,0.62,0.31,1.23,0.131594725347858,-0.13,0.01,-0.13,111
"Chien et al., 2014",2014,"Symptoms_distress",-0.78,-1.47,-0.09,0.46,0.23,0.92,0.131594725347858,-0.21,0.01,-0.21,111
"Chien et al., 2014",2014,"SelfEfficacy",0.78,0.09,1.47,2.18,1.09,4.36,0.131594725347858,0.21,0.01,0.21,111
"Chien et al., 2014",2014,"Symptoms_distress",-0.33,-1.01,0.35,0.72,0.36,1.42,0.131594725347858,-0.09,0.01,-0.09,111
"Chien et al., 2014",2014,"Symptoms_distress",-0.25,-0.93,0.43,0.78,0.39,1.53,0.131594725347858,-0.07,0.01,-0.07,111
"Witham et al., 2006",2006,"6MWT",1.44,0.59,2.3,4.24,1.81,9.93,0.197392088021787,0.39,0.01,0.37,82
"Witham et al., 2006",2006,"Age",-0.86,-1.67,-0.05,0.42,0.19,0.96,0.164493406684823,-0.23,0.01,-0.23,82
"Witham et al., 2006",2006,"Depression",-1.18,-2.01,-0.35,0.31,0.13,0.7,0.164493406684823,-0.32,0.01,-0.31,82
"Witham et al., 2006",2006,"Digoxin",-1.06,-1.88,-0.24,0.35,0.15,0.79,0.164493406684823,-0.29,0.01,-0.28,82
"Witham et al., 2006",2006,"NYHA",0.9,0.08,1.71,2.45,1.09,5.53,0.164493406684823,0.24,0.01,0.24,82
"Witham et al., 2006",2006,"PositiveAttitude",1.58,0.72,2.45,4.87,2.06,11.53,0.197392088021787,0.42,0.01,0.4,82
"Witham et al., 2006",2006,"VenusPressure ",1.31,0.47,2.15,3.71,1.6,8.6,0.197392088021787,0.35,0.01,0.34,82
"Witham et al., 2006",2006,"WalkingAids",-1.63,-2.5,-0.76,0.2,0.08,0.47,0.197392088021787,-0.44,0.01,-0.41,82
"Oka et al., 1996",1996,"PerceivedExertion",-0.98,-2.11,0.16,0.38,0.12,1.17,0.328986813369645,-0.27,0.03,-0.26,43
"Oka et al., 1996",1996,"SelfEfficacy",1.88,0.64,3.11,6.55,1.9,22.53,0.394784176043574,0.5,0.03,0.46,43
"Werhahn et al., 2019",2019,"6MWT",3.27,0.08,6.47,26.42,1.08,643.23,2.66479318829413,0.81,0.14,0.67,10
"Werhahn et al., 2019",2019,"EmotionalScore",2.45,-0.41,5.31,11.61,0.66,202.88,2.13841428690269,0.63,0.14,0.56,10
"Werhahn et al., 2019",2019,"PhysicalFunctioning2",1.1,-1.38,3.58,3,0.25,35.72,1.61203538551126,0.3,0.14,0.29,10
"Werhahn et al., 2019",2019,"PhysicalFunctioning",2.45,-0.41,5.31,11.61,0.66,202.88,2.13841428690269,0.63,0.14,0.56,10
"Werhahn et al., 2019",2019,"LVEF",1.78,-0.86,4.42,5.91,0.42,82.82,1.80942747353305,0.47,0.14,0.44,10
"Werhahn et al., 2019",2019,"PeakVO2",2.52,-0.37,5.4,12.39,0.69,221.63,2.17131296823966,0.65,0.14,0.57,10
"Werhahn et al., 2019",2019,"proBNP",1.44,-1.11,4,4.24,0.33,54.37,1.67783274818519,0.39,0.14,0.37,10
"Werhahn et al., 2019",2019,"QoL2",2.21,-0.57,4.98,9.1,0.57,145.92,2.00681956155484,0.58,0.14,0.52,10
"Werhahn et al., 2019",2019,"QoL3",1.93,-0.75,4.62,6.9,0.47,101.15,1.87522483620698,0.51,0.14,0.47,10
"Werhahn et al., 2019",2019,"QoL4",2.15,-0.6,4.91,8.59,0.55,135.11,1.97392088021787,0.56,0.14,0.51,10
"Werhahn et al., 2019",2019,"QoL5",1.02,-1.44,3.48,2.77,0.24,32.42,1.5791367041743,0.28,0.14,0.27,10
"Werhahn et al., 2019",2019,"QoL6",0.33,-2.05,2.71,1.39,0.13,14.99,1.4804406601634,0.09,0.14,0.09,10
"Werhahn et al., 2019",2019,"QoL7",-2.21,-4.98,0.57,0.11,0.01,1.76,2.00681956155484,-0.58,0.14,-0.52,10
"Chien et al., 2014",2014,"Education",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education2",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education2",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education2",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education2",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education2",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education2",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education2",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education2",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Chien et al., 2014",2014,"Education",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,222
"Evangelista et al., 2001",2001,"Education",0.57,0.02,1.13,1.78,1.02,3.11,0.0657973626739291,0.16,0.01,0.16,164
"Evangelista et al., 2001",2001,"PhysicalFunctioning",0.59,0.03,1.14,1.8,1.03,3.14,0.0657973626739291,0.16,0.01,0.16,164
"Evangelista et al., 2001",2001,"Mentalhealth ",1.33,0.76,1.91,3.79,2.14,6.73,0.0986960440108936,0.36,0.01,0.34,164
