Author,Year,estimate_type,PA_Varme,Pa_varNotes,Construct,X_varNotes,N,B_uni,B_SE_uni,beta_uni,CI_lower_uni,CI_upper_uni,p_valueBeta_uni,t_uni,F_uni,p_valueF_uni,Rsqrt_uni,r_uni,p_valuerCoeff_uni,Odds_Ratio,CI_OR,p_valueOR,Rho_uni,p_valueRho_uni,Variates_multi,B_multi,SE_B_Multi,beta_multi,p_valueBeta_multi,F_multi,p_valueF_multi,SE_multi,t_multi,p_multi,CI_1_multi,CI_2_multi,Rsqrt_multi,B_PA_X,SE_PA_X,OR_PA_X,CI_1_PA_X,CI_2_PA_X,P_value_PA_X,N_PA_X,Proportion_Percent_PA_X,Mean_PA_X,SD_PA_X,Median_PA_X,IRQ_First_PA_X,IRQ_Second_PA_X,F_PA_X,p_F_PA_X,OR_PA_noX,CI_1_PA_noX,CI_2_,p_PA_noX,N_PA_noX,Proportion_Percent_PA_noX,Mean_PA_noX,SD_PA_noX,Median_PA_noX,IRQ_First_PA_noX,IRQ_Second_PA_noX,t_value_PA_noX,p_valueTPA_noX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"van der Wal et al., 2006",2006,Binary,Exercise_complient_Binary,Exercise: compient vs not (absolute numbers):  Complient vs non-complient ,MedicineBenefit,"Beliefs about the benefit of medicaiton
",501,,,,,,,,,,,,0.00,2.15,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"van der Wal et al., 2006",2006,Binary,Exercise_complient_Binary,Exercise non-complient (61%),Symptoms,physical symptoms (27%),501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.27,27.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"van der Wal et al., 2006",2006,Binary,Exercise_complient_Binary,Exercise non-complient (61%),Symptoms1,and a lack of energy (25%).,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.25,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gallagher et al., 2011",2011,Mean_SD,ComplienceRate,self-reported compliance rate,SocialSupport,SocialSupport (low vs high),333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.00,,2.95,1.28,,,,,,,,,,94.00,,2.41,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,Exercise_complient_Binary,exercise Complient vs non-complient ,Age,Age_older70,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.92,8.00,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,PA_low_categoryProportion,DLA,Age,Age_older70,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.84,16.00,,,,,,,,,,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,PA_sedentary_categoryProportion,lessThan_DLA,Age,Age_older70,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,6.00,,,,,,,,,,,,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,PAmoderate_categoryProportion,Walks,Age,Age_older70,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.80,70.00,,,,,,,,,,,,61.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,Exercise_complient_Binary,exercise Complient vs non-complient ,CardiologyClinic,CardiologyClinic,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.68,7.00,,,,,,,,,,,,4.00,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,PA_low_categoryProportion,DLA,CardiologyClinic_lowPA,CardiologyClinic,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.12,13.00,,,,,,,,,,,,20.00,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,PA_sedentary_categoryProportion,lessThan_DLA,CardiologyClinic_lessThanDLA,CardiologyClinic,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.68,7.00,,,,,,,,,,,,15.00,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,PAmoderate_categoryProportion,Walks,CardiologyClinic_walks,CardiologyClinic,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.52,73.00,,,,,,,,,,,,61.00,18.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,Exercise_complient_Binary,exercise Complient vs non-complient ,Male,male,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.92,8.00,,,,,,,,,,,,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,PA_low_categoryProportion,DLA,Male1,male,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.40,10.00,,,,,,,,,,,,26.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,PA_sedentary_categoryProportion,lessThan_DLA,Male2,male,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.44,6.00,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gonzalez et al., 2004",2004,Binary,PAmoderate_categoryProportion,Walks,Male3,male,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.24,76.00,,,,,,,,,,,,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ho et al., 2014",2014,Median,Exercise_complient_Binary,Exercise: compient vs not (absolute numbers):  Complient vs non-complient ,Age,Age,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.00,71.00,84.00,,,,,,,,,,,82.00,75.00,86.00,,125.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ho et al., 2014",2014,Binary,Exercise_complient_Binary,Exercise: compient vs not (absolute numbers):  Complient vs non-complient ,HFprogram,"
Enrolement in HF program 
",255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.85,47.00,,,,,,,,,,,,51.00,20.00,,,,,,,125.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ho et al., 2014",2014,Median,Exercise_complient_Binary,Exercise: compient vs not (absolute numbers):  Complient vs non-complient ,Number_ofIRERs,Number of app.,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,4.00,11.00,,,,,,,,,,,3.00,2.00,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,Duration_dayMins,Average daily minutes ≥ moderate inteity activity(Accelerometer),6MWT,Higher of two 6MWT,204,,,,,,,,,,,0.46,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,EnergyExpend_total,Average daily kcals expended per kg(Accelerometer),6MWT,Higher of two 6MWT,204,,,,,,,,,,,0.39,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,Duration_dayMins,Average daily minutes ≥ moderate inteity activity(Accelerometer),Age,Age,204,,,,,,,,,,,-0.25,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,EnergyExpend_total,Average daily kcals expended per kg(Accelerometer),Age,Age,204,,,,,,,,,,,-0.32,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,Duration_dayMins,Average daily minutes ≥ moderate inteity activity(Accelerometer),Anxiety,PROMIS-29 anxiety,204,,,,,,,,,,,-0.16,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,EnergyExpend_total,Average daily kcals expended per kg(Accelerometer),Anxiety,PROMIS-29 anxiety,204,,,,,,,,,,,-0.02,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,Duration_dayMins,Average daily minutes ≥ moderate inteity activity(Accelerometer),BMI,BMI,204,,,,,,,,,,,-0.11,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,EnergyExpend_total,Average daily kcals expended per kg(Accelerometer),BMI,BMI,204,,,,,,,,,,,-0.10,-0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozehl et al. 2018,2018,r,Duration_dayMins,Average daily minutes ≥ moderate inteity activity(Accelerometer),Comorbidity,Charlson Comorbidity Index,204,,,,,,,,,,,-0.18,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
